王俊文,葉成龍,蔡昱詳,邱新勇,陳志明,李以寶,許堯淵,蔡士凡,歐斯納,馬丁
9,10,11,15,17,18,19,21,22,23
74,23,78,17,9,9,62,7,18,0
16,7,19,1,2,1,8,1,5,0
4,1,0,0,0,0,1,0,0,0
2,1,7,0,0,0,5,1,4,0
82,31,73,11,16,7,89,10,22,0
24,10,38,0,8,6,24,9,7,0
4,2,4,1,1,1,2,0,1,0
119,45,135,40,14,20,116,13,27,5
83,36,95,18,11,13,87,20,21,2
408,156,449,88,61,57,394,61,105,7
5,2,15,2,0,1,7,1,0,0
1,2,3,0,1,0,2,0,0,0
39,11,42,20,5,11,32,5,10,1
8,6,9,5,2,3,7,1,3,0
